#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
",214177844,34109.0,1535995.0,199.0,198776221.0,42580.0,13865628.0,15540.0,,,,,,Asia,,,,,,,2023-02-24
,"
North America
",124454659,13166.0,1609910.0,100.0,119688106.0,39469.0,3156643.0,7752.0,,,,,,North America,,,,,,,2023-02-24
,"
Europe
",246116716,51474.0,2016321.0,223.0,241707445.0,28487.0,2392950.0,6461.0,,,,,,Europe,,,,,,,2023-02-24
,"
South America
",67966089,15202.0,1350361.0,141.0,66204615.0,7649.0,411113.0,10195.0,,,,,,South America,,,,,,,2023-02-24
,"
Oceania
",13987191,2961.0,26076.0,16.0,13826284.0,2416.0,134831.0,64.0,,,,,,Australia/Oceania,,,,,,,2023-02-24
,"
Africa
",12791178,424.0,258576.0,,12074525.0,101.0,458077.0,547.0,,,,,,Africa,,,,,,,2023-02-24
,"

",721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,,2023-02-24
25.0,Greece,5842655,,36066.0,,5796999.0,1598.0,9590.0,115.0,566333.0,3496.0,102228365.0,"9,909,078",10316637.0,Europe,2.0,286.0,0.0,,,930.0,2023-02-24
26.0,Portugal,5566708,,26117.0,,5536772.0,,3819.0,61.0,548954.0,2575.0,45968702.0,"4,533,148",10140570.0,Europe,2.0,388.0,0.0,,,377.0,2023-02-24
27.0,Ukraine,5382095,,111175.0,,5261929.0,,8991.0,,124608.0,2574.0,32603805.0,"754,855",43192122.0,Europe,8.0,389.0,1.0,,,208.0,2023-02-24
28.0,Chile,5158953,2434.0,64145.0,17.0,5087134.0,,7674.0,82.0,267995.0,3332.0,48396297.0,"2,514,068",19250195.0,South America,4.0,300.0,0.0,126.0,0.9,399.0,2023-02-24
29.0,Malaysia,5042015,204.0,36957.0,,4995838.0,254.0,9220.0,9.0,151955.0,1114.0,68040454.0,"2,050,580",33181072.0,Asia,7.0,898.0,0.0,6.0,,278.0,2023-02-24
30.0,Israel,4797235,563.0,12268.0,,4781252.0,,3715.0,57.0,514394.0,1315.0,41373364.0,"4,436,346",9326000.0,Asia,2.0,760.0,0.0,60.0,,398.0,2023-02-24
31.0,DPRK,4772813,,74.0,,4772739.0,,0.0,,183636.0,3.0,,,25990679.0,Asia,5.0,351225.0,,,,,2023-02-24
32.0,Thailand,4727831,,33902.0,,4692636.0,,1293.0,,67465.0,484.0,17270775.0,"246,450",70078203.0,Asia,15.0,2067.0,4.0,,,18.0,2023-02-24
33.0,Belgium,4717655,,33717.0,,4657469.0,735.0,26469.0,43.0,404315.0,2890.0,36709556.0,"3,146,099",11668278.0,Europe,2.0,346.0,0.0,,,2268.0,2023-02-24
34.0,Czechia,4606835,1178.0,42418.0,4.0,4554255.0,1445.0,10162.0,37.0,429070.0,3951.0,56985031.0,"5,307,458",10736784.0,Europe,2.0,253.0,0.0,110.0,0.4,946.0,2023-02-24
35.0,Canada,4581763,,51061.0,,4492894.0,1575.0,37808.0,99.0,119353.0,1330.0,66343123.0,"1,728,207",38388419.0,North America,8.0,752.0,1.0,,,985.0,2023-02-24
36.0,Peru,4485147,144.0,219387.0,9.0,4264065.0,394.0,1695.0,44.0,133153.0,6513.0,37988506.0,"1,127,784",33684208.0,South America,8.0,154.0,1.0,4.0,0.3,50.0,2023-02-24
37.0,Switzerland,4389655,,14452.0,,4371249.0,,3954.0,39.0,500323.0,1647.0,23833472.0,"2,716,487",8773637.0,Europe,2.0,607.0,0.0,,,451.0,2023-02-24
38.0,Philippines,4075922,51.0,66076.0,13.0,4000601.0,121.0,9245.0,162.0,36228.0,587.0,34562282.0,"307,196",112508994.0,Asia,28.0,1703.0,3.0,5.0,0.1,82.0,2023-02-24
39.0,South Africa,4061383,298.0,102595.0,,3912506.0,,46282.0,192.0,66847.0,1689.0,26473049.0,"435,726",60756135.0,Africa,15.0,592.0,2.0,5.0,,762.0,2023-02-24
40.0,Romania,3335131,,67675.0,,3260130.0,,7326.0,115.0,175244.0,3556.0,26603809.0,"1,397,895",19031335.0,Europe,6.0,281.0,1.0,,,385.0,2023-02-24
41.0,Denmark,3174969,62.0,8244.0,4.0,3165686.0,,1039.0,19.0,544130.0,1413.0,129190878.0,"22,140,871",5834950.0,Europe,2.0,708.0,0.0,11.0,0.7,178.0,2023-02-24
42.0,Hong Kong,2882936,114.0,13447.0,2.0,2834576.0,4015.0,34913.0,28.0,379119.0,1768.0,76127725.0,"10,011,143",7604299.0,Asia,3.0,566.0,0.0,15.0,0.3,4591.0,2023-02-24
43.0,Sweden,2697827,,23633.0,,2669780.0,,4414.0,9.0,264002.0,2313.0,19469139.0,"1,905,196",10218971.0,Europe,4.0,432.0,1.0,,,432.0,2023-02-24
44.0,Serbia,2489711,841.0,17803.0,12.0,2457652.0,804.0,14256.0,18.0,287728.0,2057.0,12367413.0,"1,429,260",8653016.0,Europe,3.0,486.0,1.0,97.0,1.0,1648.0,2023-02-24
45.0,Iraq,2465545,,25375.0,,2439497.0,,673.0,21.0,58474.0,602.0,19544451.0,"463,523",42164965.0,Asia,17.0,1662.0,2.0,,,16.0,2023-02-24
46.0,Singapore,2222006,,1722.0,,2149583.0,,70701.0,1.0,373852.0,290.0,24756666.0,"4,165,302",5943546.0,Asia,3.0,3452.0,0.0,,,11895.0,2023-02-24
47.0,New Zealand,2207775,,3864.0,,2197123.0,,6788.0,,450732.0,789.0,7768604.0,"1,586,011",4898203.0,Australia/Oceania,2.0,1268.0,1.0,,,1386.0,2023-02-24
48.0,Hungary,2194969,,48745.0,,2142682.0,,3542.0,6.0,228494.0,5074.0,11394556.0,"1,186,160",9606259.0,Europe,4.0,197.0,1.0,,,369.0,2023-02-24
49.0,Bangladesh,2037773,,29445.0,,1998448.0,,9880.0,,12138.0,175.0,15254399.0,"90,862",167885689.0,Asia,82.0,5702.0,11.0,,,59.0,2023-02-24
50.0,Slovakia,1862590,95.0,21014.0,3.0,1840451.0,78.0,1125.0,16.0,341122.0,3849.0,7401355.0,"1,355,512",5460193.0,Europe,3.0,260.0,1.0,17.0,0.5,206.0,2023-02-24
51.0,Georgia,1825598,,16965.0,,1776548.0,,32085.0,,459995.0,4275.0,16920079.0,"4,263,340",3968738.0,Asia,2.0,234.0,0.0,,,8084.0,2023-02-24
52.0,Jordan,1746997,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371.0,17201885.0,"1,669,945",10300869.0,Asia,6.0,729.0,1.0,,,181.0,2023-02-24
53.0,Ireland,1702523,,8629.0,,1691735.0,111.0,2159.0,11.0,339135.0,1719.0,13024205.0,"2,594,360",5020199.0,Europe,3.0,582.0,0.0,,,430.0,2023-02-24
54.0,Pakistan,1576838,42.0,30641.0,,1538689.0,,7508.0,16.0,6871.0,134.0,30570862.0,"133,213",229488994.0,Asia,146.0,7490.0,8.0,2.0,,33.0,2023-02-24
55.0,Norway,1478865,48.0,5112.0,,1473096.0,60.0,657.0,20.0,268330.0,928.0,11002430.0,"1,996,315",5511370.0,Europe,4.0,1078.0,1.0,9.0,,119.0,2023-02-24
56.0,Finland,1462169,,8892.0,,1451354.0,,1923.0,21.0,263219.0,1601.0,12047792.0,"2,168,835",5554960.0,Europe,4.0,625.0,0.0,,,346.0,2023-02-24
57.0,Kazakhstan,1407351,,13846.0,,1383020.0,,10485.0,24.0,73280.0,721.0,11575012.0,"602,707",19205043.0,Asia,14.0,1387.0,2.0,,,546.0,2023-02-24
58.0,Slovenia,1327065,319.0,7071.0,3.0,1316266.0,65.0,3728.0,4.0,638616.0,3403.0,2835462.0,"1,364,493",2078034.0,Europe,2.0,294.0,1.0,154.0,1.0,1794.0,2023-02-24
59.0,Lithuania,1303699,313.0,9583.0,1.0,1288284.0,284.0,5832.0,8.0,489798.0,3600.0,10373322.0,"3,897,243",2661708.0,Europe,2.0,278.0,0.0,118.0,0.4,2191.0,2023-02-24
60.0,Bulgaria,1296614,81.0,38210.0,,1255494.0,36.0,2910.0,26.0,189436.0,5583.0,11046957.0,"1,613,967",6844597.0,Europe,5.0,179.0,1.0,12.0,,425.0,2023-02-24
61.0,Morocco,1272435,17.0,16296.0,,1256057.0,6.0,82.0,3.0,33687.0,431.0,12976548.0,"343,543",37772756.0,Africa,30.0,2318.0,3.0,5.0,,2.0,2023-02-24
62.0,Croatia,1268666,,17950.0,,1250175.0,,541.0,10.0,312534.0,4422.0,5503682.0,"1,355,825",4059286.0,Europe,3.0,226.0,1.0,,,133.0,2023-02-24
63.0,Guatemala,1235447,365.0,20165.0,2.0,1214062.0,379.0,1220.0,5.0,66479.0,1085.0,6909090.0,"371,775",18584039.0,North America,15.0,922.0,3.0,20.0,0.1,66.0,2023-02-24
64.0,Lebanon,1231456,153.0,10822.0,1.0,1087587.0,,133047.0,74.0,184216.0,1619.0,4795578.0,"717,380",6684849.0,Asia,5.0,618.0,1.0,23.0,0.1,19903.0,2023-02-24
65.0,Costa Rica,1199055,,9214.0,,860711.0,,329130.0,52.0,231373.0,1778.0,4659757.0,"899,158",5182354.0,North America,4.0,562.0,1.0,,,63510.0,2023-02-24
66.0,Bolivia,1192514,156.0,22363.0,,1156358.0,467.0,13793.0,220.0,99437.0,1865.0,2705422.0,"225,590",11992656.0,South America,10.0,536.0,4.0,13.0,,1150.0,2023-02-24
67.0,Tunisia,1150793,,29330.0,,,,,44.0,95528.0,2435.0,5001397.0,"415,169",12046656.0,Africa,10.0,411.0,2.0,,,951.0,2023-02-24
68.0,Cuba,1112572,5.0,8530.0,,1103963.0,6.0,79.0,,98408.0,754.0,14315545.0,"1,266,229",11305652.0,North America,10.0,1325.0,1.0,4.0,,7.0,2023-02-24
69.0,Ecuador,1056578,,36008.0,,1015999.0,,4571.0,759.0,58331.0,1988.0,3082403.0,"170,173",18113361.0,South America,17.0,503.0,6.0,,,252.0,2023-02-24
70.0,UAE,1051589,132.0,2349.0,1.0,1034835.0,104.0,14405.0,,104306.0,233.0,199126406.0,"19,751,106",10081785.0,Asia,10.0,4292.0,0.0,13.0,0.1,1429.0,2023-02-24
71.0,Uruguay,1034046,,7617.0,,1025995.0,,434.0,18.0,295778.0,2179.0,6114822.0,"1,749,083",3496016.0,South America,3.0,459.0,1.0,,,124.0,2023-02-24
72.0,Panama,1031014,,8603.0,,1021886.0,,525.0,16.0,231847.0,1935.0,7522110.0,"1,691,516",4446964.0,North America,4.0,517.0,1.0,,,118.0,2023-02-24
73.0,Mongolia,1007896,,2179.0,,1005707.0,2.0,10.0,192.0,298364.0,645.0,4030048.0,"1,193,000",3378078.0,Asia,3.0,1550.0,1.0,,,3.0,2023-02-24
74.0,Nepal,1001139,1.0,12020.0,,989111.0,4.0,8.0,,33122.0,398.0,6010940.0,"198,869",30225582.0,Asia,30.0,2515.0,5.0,3.0,,3.0,2023-02-24
75.0,Belarus,994037,,7118.0,,985592.0,,1327.0,,105381.0,755.0,13646641.0,"1,446,722",9432800.0,Europe,9.0,1325.0,1.0,,,141.0,2023-02-24
76.0,Latvia,975928,25.0,6237.0,2.0,969343.0,32.0,348.0,13.0,527860.0,3373.0,7863922.0,"4,253,443",1848837.0,Europe,2.0,296.0,0.0,14.0,1.0,188.0,2023-02-24
77.0,Saudi Arabia,829185,48.0,9611.0,3.0,816538.0,51.0,3036.0,41.0,23133.0,268.0,45130369.0,"1,259,045",35844909.0,Asia,43.0,3730.0,1.0,1.0,0.08,85.0,2023-02-24
