#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
23,Colombia,"6,359,464",,"142,615                                ",,"6,182,304",,"34,545",342,"123,454","2,769","36,951,507","717,327","51,512,762 ",South America,8,361,1,,,671,2023-02-24 22:52:50.662038
24,Austria,"5,891,256","+5,972","21,870                                ",+7,"5,814,933","+3,225","54,453",72,"649,768","2,412","211,273,524","23,302,116","9,066,710 ",Europe,2,415,0,659,0.8,"6,006",2023-02-24 22:52:50.662038
25,Greece,"5,842,655",,"36,066                                ",,"5,796,999","+1,598","9,590",115,"566,333","3,496","102,228,365","9,909,078","10,316,637 ",Europe,2,286,0,,,930,2023-02-24 22:52:50.662038
26,Portugal,"5,566,708",,"26,117                                ",,"5,536,772",,"3,819",61,"548,954","2,575","45,968,702","4,533,148","10,140,570 ",Europe,2,388,0,,,377,2023-02-24 22:52:50.662038
27,Ukraine,"5,382,095",,"111,175                                ",,"5,261,929",,"8,991",,"124,608","2,574","32,603,805","754,855","43,192,122 ",Europe,8,389,1,,,208,2023-02-24 22:52:50.662038
28,Chile,"5,158,953","+2,434","64,145                                ",+17,"5,087,134",,"7,674",82,"267,995","3,332","48,396,297","2,514,068","19,250,195 ",South America,4,300,0,126,0.9,399,2023-02-24 22:52:50.662038
29,Malaysia,"5,042,015",+204,"36,957                                ",,"4,995,838",+254,"9,220",9,"151,955","1,114","68,040,454","2,050,580","33,181,072 ",Asia,7,898,0,6,,278,2023-02-24 22:52:50.662038
30,Israel,"4,797,235",+563,"12,268                                ",,"4,781,252",,"3,715",57,"514,394","1,315","41,373,364","4,436,346","9,326,000 ",Asia,2,760,0,60,,398,2023-02-24 22:52:50.662038
31,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,5,"351,225",,,,,2023-02-24 22:52:50.662038
32,Thailand,"4,727,831",,"33,902                                ",,"4,692,636",,"1,293",N/A,"67,465",484,"17,270,775","246,450","70,078,203 ",Asia,15,"2,067",4,,,18,2023-02-24 22:52:50.662038
33,Belgium,"4,717,655",,"33,717                                ",,"4,657,469",+735,"26,469",43,"404,315","2,890","36,709,556","3,146,099","11,668,278 ",Europe,2,346,0,,,"2,268",2023-02-24 22:52:50.662038
34,Czechia,"4,606,835","+1,178","42,418                                ",+4,"4,554,255","+1,445","10,162",37,"429,070","3,951","56,985,031","5,307,458","10,736,784 ",Europe,2,253,0,110,0.4,946,2023-02-24 22:52:50.662038
35,Canada,"4,581,763",,"51,061                                ",,"4,492,894","+1,575","37,808",99,"119,353","1,330","66,343,123","1,728,207","38,388,419 ",North America,8,752,1,,,985,2023-02-24 22:52:50.662038
36,Peru,"4,485,147",+144,"219,387                                ",+9,"4,264,065",+394,"1,695",44,"133,153","6,513","37,988,506","1,127,784","33,684,208 ",South America,8,154,1,4,0.3,50,2023-02-24 22:52:50.662038
37,Switzerland,"4,389,655",,"14,452                                ",,"4,371,249",,"3,954",39,"500,323","1,647","23,833,472","2,716,487","8,773,637 ",Europe,2,607,0,,,451,2023-02-24 22:52:50.662038
38,Philippines,"4,075,922",+51,"66,076                                ",+13,"4,000,601",+121,"9,245",162,"36,228",587,"34,562,282","307,196","112,508,994 ",Asia,28,"1,703",3,0.5,0.1,82,2023-02-24 22:52:50.662038
39,South Africa,"4,061,383",+298,"102,595                                ",,"3,912,506",,"46,282",192,"66,847","1,689","26,473,049","435,726","60,756,135 ",Africa,15,592,2,5,,762,2023-02-24 22:52:50.662038
40,Romania,"3,335,131",,"67,675                                ",,"3,260,130",,"7,326",115,"175,244","3,556","26,603,809","1,397,895","19,031,335 ",Europe,6,281,1,,,385,2023-02-24 22:52:50.662038
41,Denmark,"3,174,969",+62,"8,244                                ",+4,"3,165,686",,"1,039",19,"544,130","1,413","129,190,878","22,140,871","5,834,950 ",Europe,2,708,0,11,0.7,178,2023-02-24 22:52:50.662038
42,Hong Kong,"2,882,936",+114,"13,447                                ",+2,"2,834,576","+4,015","34,913",28,"379,119","1,768","76,127,725","10,011,143","7,604,299 ",Asia,3,566,0,15,0.3,"4,591",2023-02-24 22:52:50.662038
43,Sweden,"2,697,827",,"23,633                                ",,"2,669,780",,"4,414",9,"264,002","2,313","19,469,139","1,905,196","10,218,971 ",Europe,4,432,1,,,432,2023-02-24 22:52:50.662038
44,Serbia,"2,489,711",+841,"17,803                                ",+12,"2,457,652",+804,"14,256",18,"287,728","2,057","12,367,413","1,429,260","8,653,016 ",Europe,3,486,1,97,1,"1,648",2023-02-24 22:52:50.662038
45,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,17,"1,662",2,,,16,2023-02-24 22:52:50.662038
46,Singapore,"2,222,006",,"1,722                                ",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546 ",Asia,3,"3,452",0,,,"11,895",2023-02-24 22:52:50.662038
