#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
126,Rwanda,"133,170",,"1,468                                ",,"131,634",,68,,"9,792",108,"5,959,042","438,150","13,600,464 ",Africa,102,"9,265",2,,,5,2023-02-24 22:52:50.662038
127,Cameroon,"124,328",,"1,965                                ",,"122,333",,30,13,"4,454",70,"1,751,774","62,762","27,911,548 ",Africa,224,"14,204",16,,,1,2023-02-24 22:52:50.662038
128,Malta,"117,338",,827                                ,,"115,923",,588,4,"264,255","1,862","2,111,209","4,754,622","444,033 ",Europe,4,537,0,,,"1,324",2023-02-24 22:52:50.662038
129,Barbados,"106,645",,575                                ,,"106,057",,13,,"370,266","1,996","794,426","2,758,203","288,023 ",North America,3,501,0,,,45,2023-02-24 22:52:50.662038
130,Angola,"105,205",,"1,931                                ",,"103,250",,24,,"3,004",55,"1,499,795","42,818","35,027,343 ",Africa,333,"18,139",23,,,0.7,2023-02-24 22:52:50.662038
131,Channel Islands,"101,320",,227                                ,,"100,975",,118,,"574,171","1,286","1,252,808","7,099,551","176,463 ",Europe,2,777,0,,,669,2023-02-24 22:52:50.662038
132,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,3,748,0,,,"274,906",2023-02-24 22:52:50.662038
133,DRC,"95,646",,"1,464                                ",,"84,282",,"9,900",,"1,004",15,"846,704","8,890","95,240,792 ",Africa,996,"65,055",112,,,104,2023-02-24 22:52:50.662038
134,Senegal,"88,917",,"1,971                                ",,"86,938",,8,,"5,037",112,"1,146,543","64,946","17,653,671 ",Africa,199,"8,957",15,,,0.5,2023-02-24 22:52:50.662038
135,Malawi,"88,681",,"2,686                                ",,"85,542",,453,67,"4,394",133,"624,784","30,959","20,180,839 ",Africa,228,"7,513",32,,,22,2023-02-24 22:52:50.662038
136,Ivory Coast,"88,158",+20,834                                ,,"87,289",+27,35,,"3,178",30,"1,678,025","60,486","27,742,298 ",Africa,315,"33,264",17,0.7,,1,2023-02-24 22:52:50.662038
137,Suriname,"82,227",,"1,400                                ",,N/A,N/A,N/A,,"137,773","2,346","240,907","403,644","596,831 ",South America,7,426,2,,,"52,112",2023-02-24 22:52:50.662038
138,New Caledonia,"79,871",,314                                ,,"79,557",,0,9,"274,551","1,079","98,964","340,182","290,915 ",Australia/Oceania,4,926,3,,,,2023-02-24 22:52:50.662038
139,French Polynesia,"77,957",,649                                ,,N/A,N/A,N/A,7,"274,338","2,284",,,"284,164 ",Australia/Oceania,4,438,,,,"154,164",2023-02-24 22:52:50.662038
140,Eswatini,"74,199",,"1,423                                ",,"72,726",,50,,"62,625","1,201","1,048,704","885,119","1,184,817 ",Africa,16,833,1,,,42,2023-02-24 22:52:50.662038
141,Guyana,"73,066",+4,"1,298                                ",,"71,742",,26,,"92,017","1,635","721,408","908,523","794,045 ",South America,11,612,1,5,,33,2023-02-24 22:52:50.662038
142,Belize,"70,740",,688                                ,,"70,036",,16,6,"171,620","1,669","576,016","1,397,453","412,190 ",North America,6,599,1,,,39,2023-02-24 22:52:50.662038
143,Fiji,"68,876",,883                                ,,"66,831",,"1,162",,"75,732",971,"668,445","734,986","909,466 ",Australia/Oceania,13,"1,030",1,,,"1,278",2023-02-24 22:52:50.662038
144,Madagascar,"67,852",,"1,421                                ",,"66,427",,4,,"2,325",49,"525,141","17,998","29,178,077 ",Africa,430,"20,533",56,,,0.1,2023-02-24 22:52:50.662038
145,Sudan,"63,787",,"5,011                                ",,"58,438",,338,,"1,387",109,"562,941","12,240","45,992,020 ",Africa,721,"9,178",82,,,7,2023-02-24 22:52:50.662038
146,Mauritania,"63,667",,997                                ,,"62,439",,231,,"12,988",203,"1,009,957","206,030","4,901,981 ",Africa,77,"4,917",5,,,47,2023-02-24 22:52:50.662038
147,Cabo Verde,"63,240",,413                                ,,"62,770",,57,23,"111,401",728,"401,622","707,482","567,678 ",Africa,9,"1,375",1,,,100,2023-02-24 22:52:50.662038
148,Bhutan,"62,615",,21                                ,,"61,564",,"1,030",,"79,467",27,"2,303,734","2,923,739","787,941 ",Asia,13,"37,521",0,,,"1,307",2023-02-24 22:52:50.662038
149,Syria,"57,463",,"3,164                                ",,"54,299",,0,,"2,967",163,"146,269","7,553","19,364,809 ",Asia,337,"6,120",132,,,,2023-02-24 22:52:50.662038
150,Burundi,"53,609",,38                                ,,"53,569",,2,,"4,246",3,"345,742","27,386","12,624,840 ",Africa,235,"332,233",37,,,0.2,2023-02-24 22:52:50.662038
151,Seychelles,"50,665",,172                                ,,"50,440",,53,,"509,575","1,730",,,"99,426 ",Africa,2,578,,,,533,2023-02-24 22:52:50.662038
152,Gabon,"48,981",,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,48,"7,619",1,,,0.4,2023-02-24 22:52:50.662038
153,Andorra,"47,866",,165                                ,,"47,563",,138,14,"617,921","2,130","249,838","3,225,256","77,463 ",Europe,2,469,0,,,"1,781",2023-02-24 22:52:50.662038
154,Papua New Guinea,"46,792",,670                                ,,"43,982",,"2,140",7,"5,036",72,"249,149","26,813","9,292,169 ",Australia/Oceania,199,"13,869",37,,,230,2023-02-24 22:52:50.662038
155,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,4,561,0,,,"5,866",2023-02-24 22:52:50.662038
156,Aruba,"44,026",,236                                ,,"42,438",,"1,352",2,"409,129","2,193","177,885","1,653,068","107,609 ",North America,2,456,1,,,"12,564",2023-02-24 22:52:50.662038
157,Tanzania,"42,823",,846                                ,,N/A,N/A,N/A,7,677,13,,,"63,298,550 ",Africa,"1,478","74,821",,,,660,2023-02-24 22:52:50.662038
158,Mayotte,"42,004",,188                                ,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038","286,259 ",Africa,7,"1,523",2,,,"135,723",2023-02-24 22:52:50.662038
159,Mauritius,"41,717",+19,"1,043                                ",,"40,012",+21,662,,"32,726",818,"358,675","281,374","1,274,727 ",Africa,31,"1,222",4,15,,519,2023-02-24 22:52:50.662038
160,Togo,"39,371",+4,290                                ,,"39,074",+2,7,,"4,535",33,"808,113","93,092","8,680,837 ",Africa,220,"29,934",11,0.5,,0.8,2023-02-24 22:52:50.662038
161,Guinea,"38,267",,467                                ,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691 ",Africa,362,"29,691",21,,,3,2023-02-24 22:52:50.662038
162,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,2,739,1,,,"129,450",2023-02-24 22:52:50.662038
163,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516 ",North America,11,481,2,,,729,2023-02-24 22:52:50.662038
164,Lesotho,"34,790",,723                                ,,"25,980",,"8,087",,"15,990",332,"431,221","198,199","2,175,699 ",Africa,63,"3,009",5,,,"3,717",2023-02-24 22:52:50.662038
165,Faeroe Islands,"34,658",,28                                ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,1,"1,758",0,,,"547,133",2023-02-24 22:52:50.662038
166,Haiti,"34,143",,860                                ,,"33,044",,239,,"2,923",74,"132,422","11,337","11,680,283 ",North America,342,"13,582",88,,,20,2023-02-24 22:52:50.662038
167,Mali,"32,989",+12,743                                ,,"32,062",+16,184,,"1,536",35,"794,716","37,009","21,473,764 ",Africa,651,"28,901",27,0.6,,9,2023-02-24 22:52:50.662038
168,Cayman Islands,"31,472",,37                                ,,"8,553",,"22,882",1,"467,797",550,"222,773","3,311,280","67,277 ",North America,2,"1,818",0,,,"340,116",2023-02-24 22:52:50.662038
169,Saint Lucia,"29,882",,409                                ,,"29,095",,378,,"161,426","2,209","210,983","1,139,752","185,113 ",North America,6,453,1,,,"2,042",2023-02-24 22:52:50.662038
170,Benin,"27,990",,163                                ,,"27,825",,2,,"2,189",13,"604,310","47,268","12,784,726 ",Africa,457,"78,434",21,,,0.2,2023-02-24 22:52:50.662038
171,Somalia,"27,324",,"1,361                                ",,"13,182",,"12,781",,"1,622",81,"400,466","23,778","16,841,795 ",Africa,616,"12,375",42,,,759,2023-02-24 22:52:50.662038
172,Congo,"25,375",,386                                ,,"24,006",,983,,"4,377",67,"347,815","59,991","5,797,805 ",Africa,228,"15,020",17,,,170,2023-02-24 22:52:50.662038
173,Solomon Islands,"24,575",,153                                ,,N/A,N/A,N/A,1,"34,077",212,,,"721,159 ",Australia/Oceania,29,"4,713",,,,"11,183",2023-02-24 22:52:50.662038
174,Micronesia,"23,671",,60                                ,,N/A,N/A,N/A,1,"201,474",511,"54,967","467,848","117,489 ",Australia/Oceania,5,"1,958",2,,,"137,834",2023-02-24 22:52:50.662038
175,San Marino,"23,536",,122                                ,,"23,276",,138,4,"690,509","3,579","157,634","4,624,732","34,085 ",Europe,1,279,0,,,"4,049",2023-02-24 22:52:50.662038
176,Timor-Leste,"23,418",,138                                ,,"23,102",,178,,"17,101",101,"278,529","203,391","1,369,429 ",Asia,58,"9,923",5,,,130,2023-02-24 22:52:50.662038
177,Burkina Faso,"22,056",,396                                ,,"21,596",,64,,998,18,"248,995","11,265","22,102,838 ",Africa,"1,002","55,815",89,,,3,2023-02-24 22:52:50.662038
178,Liechtenstein,"21,395",,89                                ,,"21,281",,25,,"557,350","2,318","112,457","2,929,559","38,387 ",Europe,2,431,0,,,651,2023-02-24 22:52:50.662038
179,Gibraltar,"20,423",+3,111                                ,,"16,579",,"3,733",,"605,952","3,293","534,283","15,852,213","33,704 ",Europe,2,304,0,89,,"110,758",2023-02-24 22:52:50.662038
180,Grenada,"19,680",,238                                ,,"19,358",,84,4,"173,430","2,097","182,981","1,612,523","113,475 ",North America,6,477,1,,,740,2023-02-24 22:52:50.662038
181,Bermuda,"18,799",,160                                ,,"18,632",,7,,"303,508","2,583","1,027,337","16,586,270","61,939 ",North America,3,387,0,,,113,2023-02-24 22:52:50.662038
182,Nicaragua,"18,491",,225                                ,,"4,225",,"14,041",,"2,728",33,,,"6,779,100 ",North America,367,"30,129",,,,"2,071",2023-02-24 22:52:50.662038
183,South Sudan,"18,368",,138                                ,,"18,115",,115,1,"1,581",12,"410,280","35,313","11,618,511 ",Africa,633,"84,192",28,,,10,2023-02-24 22:52:50.662038
184,Tajikistan,"17,786",,125                                ,,"17,264",,397,,"1,786",13,,,"9,957,464 ",Asia,560,"79,660",,,,40,2023-02-24 22:52:50.662038
185,Equatorial Guinea,"17,229",,183                                ,,"16,907",,139,5,"11,512",122,"365,697","244,342","1,496,662 ",Africa,87,"8,178",4,,,93,2023-02-24 22:52:50.662038
186,Tonga,"16,801",,13                                ,,"15,638",,"1,150",,"155,927",121,"535,009","4,965,327","107,749 ",Australia/Oceania,6,"8,288",0,,,"10,673",2023-02-24 22:52:50.662038
187,Samoa,"16,607",,29                                ,,"1,605",,"14,973",,"82,116",143,"187,397","926,612","202,239 ",Australia/Oceania,12,"6,974",1,,,"74,036",2023-02-24 22:52:50.662038
188,Monaco,"16,106",,67                                ,,"15,992",,47,4,"404,846","1,684","78,646","1,976,875","39,783 ",Europe,2,594,1,,,"1,181",2023-02-24 22:52:50.662038
189,Dominica,"15,760",,74                                ,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344 ",North America,5,978,0,,,180,2023-02-24 22:52:50.662038
190,Djibouti,"15,690",,189                                ,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097 ",Africa,65,"5,376",3,,,73,2023-02-24 22:52:50.662038
191,Marshall Islands,"15,598",,17                                ,,"15,528",,53,,"259,720",283,,,"60,057 ",Australia/Oceania,4,"3,533",,,,882,2023-02-24 22:52:50.662038
192,CAR,"15,368",,113                                ,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678 ",Africa,326,"44,395",62,,,11,2023-02-24 22:52:50.662038
193,Gambia,"12,586",,372                                ,,"12,189",,25,,"4,919",145,"155,686","60,851","2,558,482 ",Africa,203,"6,878",16,,,10,2023-02-24 22:52:50.662038
194,Saint Martin,"12,257",,63                                ,,"1,399",,"10,795",7,"308,507","1,586","112,382","2,828,643","39,730 ",North America,3,631,0,,,"271,709",2023-02-24 22:52:50.662038
195,Vanuatu,"12,014",,14                                ,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832 ",Australia/Oceania,27,"22,988",13,,,75,2023-02-24 22:52:50.662038
196,Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973 ",North America,5,"2,713",0,,,"161,287",2023-02-24 22:52:50.662038
197,Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867 ",Asia,"2,608","14,430",95,,,21,2023-02-24 22:52:50.662038
198,Caribbean Netherlands,"11,672",+4,38                                ,,"10,476",,"1,158",,"438,023","1,426","30,126","1,130,559","26,647 ",North America,2,701,1,150,,"43,457",2023-02-24 22:52:50.662038
199,Sint Maarten,"11,016",,91                                ,,"10,905",,20,N/A,"250,557","2,070","62,056","1,411,454","43,966 ",North America,4,483,1,,,455,2023-02-24 22:52:50.662038
200,Eritrea,"10,189",,103                                ,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244 ",Africa,359,"35,556",155,,,,2023-02-24 22:52:50.662038
201,Niger,"9,931",,312                                ,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660 ",Africa,"2,626","83,601",102,,,28,2023-02-24 22:52:50.662038
202,St. Vincent Grenadines,"9,589",,123                                ,,"9,466",,0,,"85,961","1,103","113,703","1,019,292","111,551 ",North America,12,907,1,,,,2023-02-24 22:52:50.662038
203,Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509 ",North America,11,682,5,,,60,2023-02-24 22:52:50.662038
204,Comoros,"8,998",,161                                ,,"8,837",,0,,"9,916",177,,,"907,419 ",Africa,101,"5,636",,,,,2023-02-24 22:52:50.662038
205,Guinea-Bissau,"8,953",,176                                ,,"8,660",,117,6,"4,339",85,"145,231","70,385","2,063,367 ",Africa,230,"11,724",14,,,57,2023-02-24 22:52:50.662038
206,Liberia,"8,065",,294                                ,,"7,768",,3,2,"1,520",55,"139,824","26,356","5,305,117 ",Africa,658,"18,045",38,,,0.6,2023-02-24 22:52:50.662038
207,Sierra Leone,"7,760",,126                                ,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436 ",Africa,"1,070","65,924",32,,,330,2023-02-24 22:52:50.662038
208,Chad,"7,675",,194                                ,,"4,874",,"2,607",,441,11,"191,341","10,988","17,413,580 ",Africa,"2,269","89,761",91,,,150,2023-02-24 22:52:50.662038
209,British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596 ",North America,4,478,0,,,392,2023-02-24 22:52:50.662038
210,Cook Islands,"7,025",,2                                ,,"7,012",,11,,"399,806",114,"19,690","1,120,596","17,571 ",Australia/Oceania,3,"8,786",1,,,626,2023-02-24 22:52:50.662038
211,Saint Kitts and Nevis,"6,596",,46                                ,,"6,546",,4,,"122,441",854,"126,927","2,356,129","53,871 ",North America,8,"1,171",0,,,74,2023-02-24 22:52:50.662038
212,Turks and Caicos,"6,551",,38                                ,,"6,491",,22,4,"164,842",956,"611,527","15,387,811","39,741 ",North America,6,"1,046",0,,,554,2023-02-24 22:52:50.662038
213,Sao Tome and Principe,"6,281",,77                                ,,"6,203",,1,,"27,587",338,"29,036","127,530","227,679 ",Africa,36,"2,957",8,,,4,2023-02-24 22:52:50.662038
214,Palau,"5,988",,9                                ,,"5,976",,3,,"328,416",494,"69,136","3,791,806","18,233 ",Australia/Oceania,3,"2,026",0,,,165,2023-02-24 22:52:50.662038
215,St. Barth,"5,439",,6                                ,,N/A,N/A,N/A,,"546,908",603,"78,646","7,908,095","9,945 ",North America,2,"1,658",0,,,"499,849",2023-02-24 22:52:50.662038
216,Nauru,"5,247",,1                                ,,"5,075",,171,,"481,244",92,"20,509","1,881,042","10,903 ",Australia/Oceania,2,"10,903",1,,,"15,684",2023-02-24 22:52:50.662038
217,Kiribati,"5,013",,18                                ,,"2,703",,"2,292",3,"40,618",146,,,"123,419 ",Australia/Oceania,25,"6,857",,,,"18,571",2023-02-24 22:52:50.662038
218,Anguilla,"3,904",,12                                ,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230 ",North America,4,"1,269",0,,,854,2023-02-24 22:52:50.662038
219,Macao,"3,513",,121                                ,,"3,378",,14,,"5,263",181,"7,850","11,760","667,490 ",Asia,190,"5,516",85,,,21,2023-02-24 22:52:50.662038
220,Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759 ",North America,2,"2,880",0,,,"173,815",2023-02-24 22:52:50.662038
221,Wallis and Futuna,"3,427",,7                                ,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982 ",Australia/Oceania,3,"1,569",1,,,"271,535",2023-02-24 22:52:50.662038
222,Tuvalu,"2,805",, ,,,,"2,805",,"232,471",,,,"12,066 ",Australia/Oceania,4,,,,,"232,471",2023-02-24 22:52:50.662038
223,Saint Helena,"2,166",, ,,2,,"2,164",,"354,211",,,,"6,115 ",Africa,3,,,,,"353,884",2023-02-24 22:52:50.662038
224,Falkland Islands,"1,930",, ,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539 ",South America,2,,0,,,,2023-02-24 22:52:50.662038
225,Montserrat,"1,403",,8                                ,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965 ",North America,4,621,0,,,"3,827",2023-02-24 22:52:50.662038
226,Niue,783,, ,,752,,31,,"482,737",,,,"1,622 ",Australia/Oceania,2,,,,,"19,112",2023-02-24 22:52:50.662038
227,Diamond Princess,712,,13                                ,,699,,0,,,,,, ,,,,,,,,2023-02-24 22:52:50.662038
228,Vatican City,29,, ,,29,,0,,"36,295",,,,799 ,Europe,28,,,,,,2023-02-24 22:52:50.662038
229,Western Sahara,10,,1                                ,,9,,0,,16,2,,,"626,161 ",Africa,"62,616","626,161",,,,,2023-02-24 22:52:50.662038
230,MS Zaandam,9,,2                                ,,7,,0,,,,,, ,,,,,,,,2023-02-24 22:52:50.662038
231,Tokelau,5,, ,,,,5,,"3,628",,,,"1,378 ",Australia/Oceania,276,,,,,"3,628",2023-02-24 22:52:50.662038
,Total:,"214,177,844","+34,109","1,535,995",+199,"198,776,221","+42,580","13,865,628","15,540",,,,,,Asia, ,,,,,,2023-02-24 22:52:50.662038
,Total:,"124,454,659","+13,166","1,609,910",+100,"119,688,106","+39,469","3,156,643","7,752",,,,,,North America, ,,,,,,2023-02-24 22:52:50.662038
,Total:,"246,116,716","+51,474","2,016,321",+223,"241,707,445","+28,487","2,392,950","6,461",,,,,,Europe, ,,,,,,2023-02-24 22:52:50.662038
,Total:,"67,966,089","+15,202","1,350,361",+141,"66,204,615","+7,649","411,113","10,195",,,,,,South America, ,,,,,,2023-02-24 22:52:50.662038
,Total:,"13,987,191","+2,961","26,076",+16,"13,826,284","+2,416","134,831",64,,,,,,Australia/Oceania, ,,,,,,2023-02-24 22:52:50.662038
,Total:,"12,791,178",+424,"258,576",,"12,074,525",,"458,077",547,,,,,,Africa, ,,,,,,2023-02-24 22:52:50.662038
,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,,2023-02-24 22:52:50.662038
,Total:,"679,494,398","+117,336","6,797,254",+679,"652,277,902","+120,702","20,419,242","40,559","87,172.8",872.0,,,,All,"
",,,,,,2023-02-24 22:52:50.662038
