#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
26,Portugal,"5,568,084",,"26,180                                ",,"5,537,790",+642,"4,114",61,"549,090","2,582","45,980,330","4,534,294","10,140,570 ",Europe,2,387,0,,,406,2023-02-28
27,Ukraine,"5,389,439",,"111,235                                ",,"5,261,929",,"16,275",,"124,778","2,575","32,603,805","754,855","43,192,122 ",Europe,8,388,1,,,377,2023-02-28
28,Chile,"5,166,328","+1,406","64,176                                ",,"5,097,447","+2,039","4,705",85,"268,378","3,334","48,438,160","2,516,243","19,250,195 ",South America,4,300,0,73,,244,2023-02-28
29,Malaysia,"5,042,791",+206,"36,958                                ",+1,"4,996,585",+176,"9,248",7,"151,978","1,114","68,088,226","2,052,020","33,181,072 ",Asia,7,898,0,6,0.03,279,2023-02-28
30,Israel,"4,799,283",+629,"12,290                                ",+6,"4,781,252",,"5,741",57,"514,613","1,318","41,373,364","4,436,346","9,326,000 ",Asia,2,759,0,67,0.6,616,2023-02-28
31,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,5,"351,225",,,,,2023-02-28
32,Thailand,"4,728,035",,"33,911                                ",,"4,692,636",,"1,488",N/A,"67,468",484,"17,270,775","246,450","70,078,203 ",Asia,15,"2,067",4,,,21,2023-02-28
33,Belgium,"4,717,655",,"33,717                                ",,"4,658,897",+557,"25,041",43,"404,315","2,890","36,709,556","3,146,099","11,668,278 ",Europe,2,346,0,,,"2,146",2023-02-28
34,Czechia,"4,609,833","+1,689","42,444                                ",+6,"4,558,128",+912,"9,261",38,"429,350","3,953","56,998,352","5,308,699","10,736,784 ",Europe,2,253,0,157,0.6,863,2023-02-28
35,Canada,"4,591,149",,"51,249                                ",,"4,499,195","+1,575","40,705",99,"119,597","1,335","66,343,123","1,728,207","38,388,419 ",North America,8,749,1,,,"1,060",2023-02-28
36,Peru,"4,485,753",+69,"219,431                                ",+2,"4,264,334",,"1,988",35,"133,171","6,514","38,027,986","1,128,956","33,684,208 ",South America,8,154,1,2,0.06,59,2023-02-28
37,Switzerland,"4,389,655",,"14,452                                ",,"4,371,249",,"3,954",39,"500,323","1,647","23,833,472","2,716,487","8,773,637 ",Europe,2,607,0,,,451,2023-02-28
