#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
Asia
","214,355,954","+41,975","1,536,777",+171,"198,988,591","+37,259","13,830,586","15,499",,,,,,Asia,"
",,,,,,2023-03-01
,"
North America
","124,656,575","+19,523","1,611,890",+177,"119,887,553","+66,330","3,157,132","7,679",,,,,,North America,"
",,,,,,2023-03-01
,"
Europe
","246,371,508","+56,965","2,017,571",+195,"241,920,000","+55,072","2,433,937","6,491",,,,,,Europe,"
",,,,,,2023-03-01
,"
South America
","68,023,351","+15,280","1,350,747",+144,"66,282,371","+9,846","390,233","10,192",,,,,,South America,"
",,,,,,2023-03-01
,"
Oceania
","13,996,345",+48,"26,116",,"13,834,566",+7,"135,663",64,,,,,,Australia/Oceania,"
",,,,,,2023-03-01
,"
Africa
","12,795,069",+766,"258,590",+8,"12,076,115",+894,"460,364",548,,,,,,Africa,"
",,,,,,2023-03-01
,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,,2023-03-01
,World,"680,199,523","+134,557","6,801,706",+695,"652,989,902","+169,408","20,407,915","40,473","87,263",872.6,,,,All,"
",,,,,,2023-03-01
1,China,"503,302",,"5,272                                ",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400                                ",Asia,"2,878","274,748",9,,,82,2023-03-01
2,USA,"105,345,992","+13,828","1,146,142                                ",+158,"102,747,004","+64,605","1,452,846","2,515","314,649","3,423","1,167,210,022","3,486,236","334,805,269 ",North America,3,292,0,41,0.5,"4,339",2023-03-01
3,India,"44,686,879",+268,"530,772                                ",,"44,153,668",+164,"2,439",N/A,"31,769",377,"918,794,368","653,188","1,406,631,776 ",Asia,31,"2,650",2,0.2,,2,2023-03-01
4,France,"39,626,756","+4,525","164,988                                ",+25,"39,390,798","+3,619","70,970",869,"604,209","2,516","271,490,188","4,139,547","65,584,518 ",Europe,2,398,0,69,0.4,"1,082",2023-03-01
5,Germany,"38,189,954","+21,046","168,175                                ",+89,"37,715,700","+16,500","306,079",N/A,"455,273","2,005","122,332,384","1,458,359","83,883,596 ",Europe,2,499,1,251,1,"3,649",2023-03-01
6,Brazil,"37,063,464","+10,528","699,197                                ",+110,"36,241,001","+5,672","123,266",N/A,"172,105","3,247","63,776,166","296,146","215,353,593 ",South America,6,308,3,49,0.5,572,2023-03-01
7,Japan,"33,219,038","+13,950","72,486                                ",+99,"21,685,717",+762,"11,460,835",160,"264,515",577,"95,253,685","758,481","125,584,838 ",Asia,4,"1,733",1,111,0.8,"91,260",2023-03-01
8,S. Korea,"30,526,012","+12,291","33,988                                ",+11,"30,304,171","+12,649","187,853",145,"594,702",662,"15,804,065","307,892","51,329,899 ",Asia,2,"1,510",3,239,0.2,"3,660",2023-03-01
9,Italy,"25,576,852",,"188,094                                ",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770 ",Europe,2,320,0,,,"2,806",2023-03-01
10,UK,"24,341,615",,"206,246                                ",,"24,091,325","+3,456","44,044",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907 ",Europe,3,332,0,,,643,2023-03-01
