#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
,"
North America
","124,656,575",,"1,611,890",,"119,889,083","+1,530","3,155,602","7,681",,,,,,North America,"
",,,,,,2023-03-02
,"
Asia
","214,377,751","+21,797","1,536,827",+50,"199,020,215","+31,624","13,820,709","15,485",,,,,,Asia,"
",,,,,,2023-03-02
,"
Europe
","246,390,097","+18,589","2,017,639",+68,"241,956,714","+36,714","2,415,744","6,489",,,,,,Europe,"
",,,,,,2023-03-02
,"
South America
","68,023,599",+248,"1,350,756",+9,"66,282,690",+319,"390,153","10,190",,,,,,South America,"
",,,,,,2023-03-02
,"
Oceania
","13,996,345",,"26,116",,"13,834,566",,"135,663",64,,,,,,Australia/Oceania,"
",,,,,,2023-03-02
,"
Africa
","12,795,069",,"258,590",,"12,076,113",,"460,366",548,,,,,,Africa,"
",,,,,,2023-03-02
,"

",721,,15,,706,,0,0,,,,,,,"
",,,,,,2023-03-02
,World,"680,240,157","+40,634","6,801,833",+127,"653,060,087","+70,185","20,378,237","40,457","87,268",872.6,,,,All,"
",,,,,,2023-03-02
1,USA,"105,345,992",,"1,146,142                                ",,"102,747,004",,"1,452,846","2,515","314,649","3,423","1,167,210,022","3,486,236","334,805,269 ",North America,3,292,0,,,"4,339",2023-03-02
2,India,"44,686,879",,"530,772                                ",,"44,153,668",,"2,439",N/A,"31,769",377,"918,794,368","653,188","1,406,631,776 ",Asia,31,"2,650",2,,,2,2023-03-02
3,France,"39,626,756",,"164,988                                ",,"39,390,773",,"70,995",869,"604,209","2,516","271,490,188","4,139,547","65,584,518 ",Europe,2,398,0,,,"1,082",2023-03-02
4,Germany,"38,189,954",,"168,175                                ",,"37,729,600","+13,900","292,179",N/A,"455,273","2,005","122,332,384","1,458,359","83,883,596 ",Europe,2,499,1,,,"3,483",2023-03-02
5,Brazil,"37,063,464",,"699,197                                ",,"36,241,001",,"123,266",N/A,"172,105","3,247","63,776,166","296,146","215,353,593 ",South America,6,308,3,,,572,2023-03-02
6,Japan,"33,219,038",,"72,486                                ",,"21,685,717",,"11,460,835",160,"264,515",577,"95,253,685","758,481","125,584,838 ",Asia,4,"1,733",1,,,"91,260",2023-03-02
7,S. Korea,"30,533,573","+7,561","34,003                                ",+15,"30,316,211","+12,040","183,359",129,"594,850",662,"15,804,065","307,892","51,329,899 ",Asia,2,"1,510",3,147,0.3,"3,572",2023-03-02
8,Italy,"25,576,852",,"188,094                                ",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770 ",Europe,2,320,0,,,"2,806",2023-03-02
9,UK,"24,341,615",,"206,246                                ",,"24,094,535","+3,210","40,834",N/A,"355,363","3,011","522,526,476","7,628,357","68,497,907 ",Europe,3,332,0,,,596,2023-03-02
10,Russia,"22,300,004","+14,096","396,176                                ",+39,"21,645,346","+13,937","258,482",N/A,"152,943","2,717","273,400,000","1,875,095","145,805,947 ",Europe,7,368,1,97,0.3,"1,773",2023-03-02
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,5,843,1,,,"1,819",2023-03-02
12,Spain,"13,763,336",,"119,380                                ",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142 ",Europe,3,391,0,,,790,2023-03-02
13,Vietnam,"11,526,926",,"43,186                                ",,"10,614,777",,"868,963",2,"116,488",436,"85,826,548","867,342","98,953,541 ",Asia,9,"2,291",1,,,"8,782",2023-03-02
14,Australia,"11,366,361",,"19,373                                ",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,2,"1,346",0,,,"1,234",2023-03-02
15,Taiwan,"10,069,539","+14,103","18,010                                ",+35,"9,755,633","+19,583","295,896",,"421,521",754,"30,742,304","1,286,903","23,888,595 ",Asia,2,"1,326",1,590,1,"12,386",2023-03-02
16,Argentina,"10,044,125",,"130,463                                ",,"9,909,866",,"3,796",363,"218,302","2,836","35,716,069","776,264","46,010,234 ",South America,5,353,1,,,83,2023-03-02
17,Netherlands,"8,596,296",,"22,992                                ",,"8,559,002",+186,"14,302",53,"499,452","1,336","25,984,435","1,509,718","17,211,447 ",Europe,2,749,1,,,831,2023-03-02
